ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
15883;7898937606999;7898937606999;;F;BATATA PALHA GOL 1 KG;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
14299;7898118560812;7898118560812;;F;BATATA PALHA GOL 400 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16433;7899593300078;7899593300078;;F;BATATA PALHA MAXI FRITEI 80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16434;7899593300276;7899593300276;;F;BATATA PALHA MAXI FRITEI 80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
6017;7891095031177;7891095031177;;F;BATATA PALHA PARMESAO YOKI 100G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16333;7898994322276;7898994322276;;F;BATATA PALHA PERTUTTI  80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16318;7898994322115;7898994322115;;F;BATATA PALHA PERTUTTI 100 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16319;7898994322122;7898994322122;;F;BATATA PALHA PERTUTTI 220 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16323;7898994322177;7898994322177;;F;BATATA PALHA PERTUTTI 220 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16325;7898994322191;7898994322191;;F;BATATA PALHA PERTUTTI E F 220 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16152;7898956012160;7898956012160;;F;BATATA PALHA QBATATA 1KG;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
14322;7898131880980;7898131880980;;F;BATATA PALHA QUEIJO  400 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
16151;7898956012023;7898956012023;;F;BATATA PALHA QUEIJO  400 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
14321;7898131880904;7898131880904;;F;BATATA PALHA RANCHO  100 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9811;7896020901020;7896020901020;;F;BATATA PALHA ROMANHA 400G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9816;7896020901532;7896020901532;;F;BATATA PALHA ROMANHA CHURRASCO 80 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9810;7896020901013;7896020901013;;F;BATATA PALHA ROMANHA EX FINA 400G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
9819;7896020901563;7896020901563;;F;BATATA PALHA ROMANHA EXT FINA 120 G;20052000;17.032.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;47,76;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
